strategy,workload_id,workload_family,seed,plan_sha256,selected_page_count,selected_interior_count,selected_leaf_count,delivery_method,reconstructed,loso_test_seed,parity_type,matches_frozen
lp_shuf,native_ycsb_c_hot_hashed_01,YCh01,1,e742d48dac7d3b95f82d54f840a1d7f320fd47f72e65e890e30150840b7a32db,26295,92,26203,pread_ordered,false,,exact_native_plan,true
lp_shuf,native_ycsb_c_hot_hashed_01,YCh01,2,e742d48dac7d3b95f82d54f840a1d7f320fd47f72e65e890e30150840b7a32db,26295,92,26203,pread_ordered,false,,exact_native_plan,true
lp_shuf,native_ycsb_c_hot_hashed_01,YCh01,3,e742d48dac7d3b95f82d54f840a1d7f320fd47f72e65e890e30150840b7a32db,26295,92,26203,pread_ordered,false,,exact_native_plan,true
lp_shuf,native_ycsb_c_read_uniform,YCu,1,bff0bd2bbf383cc384535071a3b3eed6e2e9a0ec6bdec4ce541c768212abfde2,26330,92,26238,pread_ordered,false,,exact_native_plan,true
lp_shuf,native_ycsb_c_read_uniform,YCu,2,bff0bd2bbf383cc384535071a3b3eed6e2e9a0ec6bdec4ce541c768212abfde2,26330,92,26238,pread_ordered,false,,exact_native_plan,true
lp_shuf,native_ycsb_c_read_uniform,YCu,3,bff0bd2bbf383cc384535071a3b3eed6e2e9a0ec6bdec4ce541c768212abfde2,26330,92,26238,pread_ordered,false,,exact_native_plan,true
lp_shuf,native_ycsb_c_read_zipf,YC,1,cd0019b864b2ed326e5e1f2272d16d8f5ff4ec91f3e8fd1c909638f883a9b113,26331,92,26239,pread_ordered,false,,exact_native_plan,true
lp_shuf,native_ycsb_c_read_zipf,YC,2,cd0019b864b2ed326e5e1f2272d16d8f5ff4ec91f3e8fd1c909638f883a9b113,26331,92,26239,pread_ordered,false,,exact_native_plan,true
lp_shuf,native_ycsb_c_read_zipf,YC,3,cd0019b864b2ed326e5e1f2272d16d8f5ff4ec91f3e8fd1c909638f883a9b113,26331,92,26239,pread_ordered,false,,exact_native_plan,true
lp_shuf,read_tail_hit_20k,C_hit,1,7f6535ffd6b0ae823dfd4f2e3a584d5fc5d9f84cc6efb72f0e511da14f60489f,916,5,911,pread_ordered,false,,exact_native_plan,true
lp_shuf,read_tail_hit_20k,C_hit,2,5d869ed2f31d9938edaa7cffdae28b3cb692910b4bef60afc6d2e36ef08b1eba,921,5,916,pread_ordered,false,,exact_native_plan,true
lp_shuf,read_tail_hit_20k,C_hit,3,ca29afe12cee8ddac89b2f89955381523a4c1ec75a0fb403b72a937e7a25ff52,918,5,913,pread_ordered,false,,exact_native_plan,true
lp_shuf,read_tail_mixed_20k,C,1,0f02ab796f5c0aec5582c3ac01f62abad7b36f0a20fab434140cc501113a518f,483,4,479,pread_ordered,false,,exact_native_plan,true
lp_sorted,native_ycsb_c_hot_hashed_01,YCh01,1,9a2d8344bd62402f6a62cedd19c059e28442ee4eae842d5c56525b172a4c7580,26295,92,26203,pread_ordered,false,,exact_native_plan,true
lp_sorted,native_ycsb_c_hot_hashed_01,YCh01,2,9a2d8344bd62402f6a62cedd19c059e28442ee4eae842d5c56525b172a4c7580,26295,92,26203,pread_ordered,false,,exact_native_plan,true
lp_sorted,native_ycsb_c_hot_hashed_01,YCh01,3,9a2d8344bd62402f6a62cedd19c059e28442ee4eae842d5c56525b172a4c7580,26295,92,26203,pread_ordered,false,,exact_native_plan,true
lp_sorted,native_ycsb_c_read_uniform,YCu,1,6142938994746192fca6f209af4419369dfc76f5dd559589f88273dc12ad4958,26330,92,26238,pread_ordered,false,,exact_native_plan,true
lp_sorted,native_ycsb_c_read_uniform,YCu,2,6142938994746192fca6f209af4419369dfc76f5dd559589f88273dc12ad4958,26330,92,26238,pread_ordered,false,,exact_native_plan,true
lp_sorted,native_ycsb_c_read_uniform,YCu,3,6142938994746192fca6f209af4419369dfc76f5dd559589f88273dc12ad4958,26330,92,26238,pread_ordered,false,,exact_native_plan,true
lp_sorted,native_ycsb_c_read_zipf,YC,1,12bb34181d8d8cbc57ae583a794ab6daaf1ad1c99851781a2889deaf3007981c,26331,92,26239,pread_ordered,false,,exact_native_plan,true
lp_sorted,native_ycsb_c_read_zipf,YC,2,12bb34181d8d8cbc57ae583a794ab6daaf1ad1c99851781a2889deaf3007981c,26331,92,26239,pread_ordered,false,,exact_native_plan,true
lp_sorted,native_ycsb_c_read_zipf,YC,3,12bb34181d8d8cbc57ae583a794ab6daaf1ad1c99851781a2889deaf3007981c,26331,92,26239,pread_ordered,false,,exact_native_plan,true
lp_sorted,read_tail_hit_20k,C_hit,1,09c10c05351f6e4013cc7d0695b701efb7bd027856b1607ec55e91f97c966eba,916,5,911,pread_ordered,false,,exact_native_plan,true
lp_sorted,read_tail_hit_20k,C_hit,2,af5e80fdd8bd93d9cec9567979ec0d4401427abf91593f86eaa187977669f765,921,5,916,pread_ordered,false,,exact_native_plan,true
lp_sorted,read_tail_hit_20k,C_hit,3,985e2f5d19a639e51ab210d6ac6eac62d83f95e236711e4418f3455a23472385,918,5,913,pread_ordered,false,,exact_native_plan,true
lp_sorted,read_tail_mixed_20k,C,1,6d28b6e49c5f4fd4bb45a73ac8d208ca72fdc3bf663bf3646f26cef9326cf23d,483,4,479,pread_ordered,false,,exact_native_plan,true
