read 360718
scan 67980 79
scan 482268 6
scan 279593 1
insert 600012
scan 400108 4
insert 600013
scan 497525 40
scan 385777 89
scan 16954 96
scan 561971 57
scan 356528 28
scan 557808 55
scan 528448 74
scan 582609 54
scan 566941 38
scan 397879 99
scan 115236 90
scan 385777 34
scan 215992 18
scan 472116 73
scan 12629 89
scan 578173 68
scan 294889 46
scan 522379 99
scan 378298 1
scan 385777 45
scan 35767 37
scan 564092 53
scan 86270 20
scan 385777 74
scan 385777 16
scan 35767 95
insert 600014
scan 95662 61
scan 401545 1
scan 272960 16
scan 300996 16
scan 319031 92
scan 385777 48
scan 214890 50
scan 184869 33
insert 600015
scan 424732 23
scan 594699 51
scan 376934 68
scan 435290 36
scan 460285 90
scan 35767 9
scan 10106 70
scan 385777 49
scan 64753 51
scan 559518 93
scan 137221 66
scan 215992 90
scan 385777 89
scan 588627 95
scan 395498 100
scan 46953 83
scan 385777 15
insert 600016
scan 598405 48
scan 575598 76
scan 72790 21
scan 35639 11
scan 371133 68
scan 180900 91
scan 63894 83
scan 136943 11
scan 429789 26
scan 512622 64
scan 78620 81
scan 215992 32
scan 475885 27
scan 553948 44
scan 450362 23
scan 305175 91
scan 332160 4
scan 4351 3
scan 440418 48
scan 104016 42
scan 420147 53
scan 212162 5
scan 214790 2
scan 393593 16
insert 600017
scan 463189 69
scan 7276 2
scan 595371 58
scan 177437 20
scan 55565 70
scan 159839 71
scan 101364 46
scan 385777 62
scan 124520 74
scan 472116 36
scan 35639 91
scan 530251 16
scan 374626 46
scan 538642 99
insert 600018
scan 385777 4
scan 456392 16
scan 385777 100
scan 579565 60
scan 72790 22
scan 10451 76
insert 600019
scan 354872 84
scan 539530 17
scan 385777 41
scan 385777 4
scan 462880 52
scan 42489 24
insert 600020
scan 452134 24
scan 561971 34
scan 145969 57
scan 549497 61
scan 381742 32
scan 385777 39
scan 354872 10
scan 385777 61
scan 447466 20
scan 595961 90
scan 186649 93
scan 126818 91
scan 424732 100
scan 385777 36
scan 72790 14
insert 600021
scan 72790 85
scan 211944 67
scan 72790 7
scan 178419 28
scan 527192 86
scan 439681 89
scan 238314 90
scan 72790 47
scan 447226 59
scan 262193 82
scan 229034 97
scan 290693 81
insert 600022
scan 593856 12
scan 33475 38
scan 276028 79
scan 358613 85
scan 385777 61
scan 433478 82
scan 29545 9
scan 296524 3
scan 46687 7
scan 35639 41
scan 55370 4
scan 356528 66
scan 343024 1
scan 193329 9
scan 349709 15
scan 35767 19
scan 348121 75
scan 561971 94
scan 385777 76
scan 56136 80
scan 224346 31
scan 280521 39
scan 358613 10
scan 385777 7
scan 374626 73
scan 385777 42
scan 107637 56
insert 600023
scan 561971 8
scan 72790 35
scan 71100 89
scan 28235 62
insert 600024
scan 271356 10
scan 332808 35
scan 412611 21
scan 373124 19
scan 127976 46
scan 107637 89
scan 415730 72
scan 557852 32
scan 548784 51
scan 211944 83
insert 600025
scan 385777 60
scan 385777 40
scan 72790 85
scan 505395 66
scan 193019 19
scan 409871 78
scan 385777 4
scan 472116 93
scan 385777 4
scan 197250 30
scan 561971 42
scan 390060 48
insert 600026
scan 36707 55
scan 339924 70
scan 73298 11
insert 600027
scan 277035 24
scan 518397 86
scan 170882 23
scan 385777 25
scan 14433 44
scan 472116 21
scan 226311 48
scan 86033 26
scan 315065 69
scan 217626 11
scan 422292 96
scan 42065 93
scan 153535 40
scan 450136 32
scan 153853 38
scan 102743 19
scan 561971 55
scan 459501 32
scan 26317 45
scan 472116 34
scan 554239 25
scan 166251 54
scan 271391 20
scan 149275 32
scan 374626 69
scan 87300 74
scan 106462 63
scan 66937 78
scan 247190 23
scan 472116 88
scan 27373 75
scan 113987 96
scan 482268 28
scan 526299 3
scan 72790 34
scan 385777 19
scan 290992 7
scan 316213 57
scan 126386 97
scan 414618 41
scan 184817 79
scan 415017 69
scan 233191 15
scan 137009 12
scan 457902 24
scan 354402 69
scan 431590 70
scan 385777 2
scan 520101 59
scan 363134 78
scan 412011 91
scan 302724 59
scan 378298 87
scan 95662 89
scan 72790 71
scan 21995 33
scan 61164 62
scan 499079 50
scan 35767 28
scan 111207 70
scan 576003 70
scan 434632 67
scan 319616 26
scan 330286 17
scan 115314 22
scan 556601 41
scan 111993 24
scan 70075 42
scan 290992 49
scan 215992 94
insert 600028
scan 400108 67
scan 11144 69
scan 435730 82
scan 299862 18
scan 101364 43
insert 600029
scan 385777 41
scan 505097 14
scan 134704 13
scan 61368 32
scan 577047 37
scan 183712 20
insert 600030
scan 385777 51
scan 462573 9
scan 385777 51
scan 416592 92
scan 472116 22
scan 209509 98
scan 525766 57
scan 385777 15
scan 497028 63
scan 56045 64
scan 166752 10
scan 157932 94
scan 161192 55
scan 35639 24
scan 108193 7
scan 385777 63
scan 266907 62
scan 573297 8
scan 482268 93
scan 72790 80
scan 189016 81
scan 290992 61
scan 385777 58
scan 457532 29
insert 600031
scan 459793 79
insert 600032
scan 432655 72
scan 172868 81
scan 175762 58
scan 101364 51
scan 205909 12
scan 76339 60
insert 600033
scan 268763 25
scan 440418 81
scan 261229 95
scan 555038 12
scan 171724 40
scan 586614 83
scan 72790 74
scan 459236 67
scan 385777 62
scan 557097 52
scan 67707 82
scan 472116 55
scan 387249 2
scan 561971 11
scan 298215 19
scan 385777 87
insert 600034
scan 374626 45
scan 390155 24
scan 1859 12
insert 600035
scan 425022 83
scan 374626 29
scan 287485 48
scan 133958 2
scan 385777 72
scan 407097 17
scan 72790 84
scan 433138 48
scan 10451 29
scan 95662 13
scan 434121 47
scan 270373 26
scan 229171 8
scan 15231 52
scan 522171 65
scan 351097 34
scan 90468 59
scan 548784 63
scan 444409 93
scan 101364 47
scan 367529 84
scan 35639 39
scan 314084 28
scan 384549 28
scan 385777 59
scan 540436 51
scan 154477 23
scan 528228 58
scan 589306 49
scan 374626 48
scan 340631 99
scan 561971 37
scan 466954 89
scan 374626 22
scan 550304 31
scan 478264 28
scan 136636 89
scan 385777 48
scan 599067 35
scan 140108 35
scan 385777 43
scan 375802 74
scan 566386 33
scan 378339 37
scan 258376 72
scan 548572 73
scan 103764 44
scan 422292 45
scan 462573 28
scan 266035 3
scan 338609 28
scan 24723 23
scan 72790 2
scan 460867 98
insert 600036
scan 35124 9
scan 291195 14
scan 35639 8
scan 196595 57
scan 167138 97
scan 72790 14
scan 220688 72
scan 224195 13
scan 462173 5
scan 599290 58
scan 54710 81
scan 72790 26
scan 440657 74
scan 233988 30
scan 378298 54
scan 408396 64
scan 114215 13
scan 505097 58
scan 179318 44
scan 303113 36
scan 35767 17
scan 376545 22
scan 110976 53
insert 600037
scan 385777 30
scan 546025 72
scan 72790 4
scan 68068 5
scan 166019 13
scan 385777 88
scan 261839 17
scan 72790 29
scan 156683 42
scan 462573 17
scan 385777 17
scan 72790 58
scan 296351 54
scan 180610 20
scan 578055 72
scan 131307 39
scan 28534 82
scan 10451 35
scan 72790 67
scan 215992 10
scan 476992 14
scan 252805 36
scan 385777 37
scan 461514 61
scan 508563 41
scan 35639 55
scan 242908 9
scan 216134 55
scan 570423 95
scan 152458 67
scan 312037 43
scan 309516 93
scan 472116 48
scan 34859 51
scan 116539 81
scan 203417 25
scan 427027 95
scan 364258 9
scan 362006 34
scan 215992 52
scan 353669 44
scan 267468 24
scan 15231 66
scan 35767 54
scan 328367 18
scan 360135 11
insert 600038
scan 220688 7
scan 447466 1
scan 48217 78
scan 561971 8
scan 250672 88
scan 526432 89
scan 482268 89
scan 324811 46
scan 472116 90
scan 89124 32
scan 98830 100
scan 540961 68
scan 23016 55
scan 1595 55
scan 566954 17
scan 246594 8
scan 472855 25
scan 400507 56
scan 35639 90
scan 344256 83
insert 600039
scan 582733 88
scan 385777 61
scan 101364 33
scan 50343 87
scan 561971 16
scan 107637 80
scan 321694 63
scan 90129 73
scan 512622 59
scan 361643 59
scan 374626 92
scan 561971 49
scan 374626 51
scan 499287 82
scan 560495 19
scan 385777 36
scan 35639 79
scan 68068 77
scan 303505 46
insert 600040
scan 429725 35
scan 250188 85
scan 385777 38
scan 374626 40
scan 511606 59
scan 6037 56
scan 386412 82
scan 145383 57
scan 165700 57
insert 600041
scan 397321 9
scan 561971 54
scan 482268 51
scan 380476 45
scan 53666 94
insert 600042
scan 332993 60
scan 452058 1
scan 134096 8
scan 72790 9
scan 516028 56
scan 300612 78
scan 77125 69
scan 196595 6
scan 525221 29
scan 66430 54
scan 387875 93
scan 227524 54
scan 594776 89
scan 61143 74
scan 474109 59
scan 238745 78
scan 186627 25
scan 231954 27
scan 385777 24
scan 7432 26
scan 464354 73
scan 18592 43
scan 392806 96
scan 72790 84
scan 407735 41
scan 35639 25
insert 600043
scan 385777 82
scan 537053 33
scan 430046 55
scan 579037 6
scan 172666 95
scan 519929 62
scan 374626 28
scan 470820 2
scan 35639 73
scan 548834 63
scan 228793 81
scan 106104 50
scan 374626 37
scan 169158 10
scan 58081 22
scan 35639 46
scan 400108 43
scan 46687 70
scan 350227 96
insert 600044
scan 587463 16
insert 600045
scan 156888 74
scan 571702 94
insert 600046
scan 61973 57
scan 308523 72
scan 440418 3
scan 529064 24
scan 474430 79
scan 472116 54
scan 590680 91
scan 385777 51
scan 472116 77
scan 430634 73
scan 563907 70
scan 272213 5
scan 343108 68
scan 385777 44
scan 252805 61
scan 374626 4
scan 101364 64
scan 68068 34
scan 312037 100
scan 462573 97
scan 64753 20
scan 472996 62
scan 421814 26
scan 256059 44
scan 35767 29
scan 589979 73
scan 216675 95
scan 378298 8
scan 153535 65
scan 64753 37
scan 521664 48
scan 561381 79
scan 166752 61
scan 70341 37
scan 126284 49
scan 392806 13
scan 72790 49
scan 400108 83
scan 472116 22
scan 35767 47
scan 385777 36
scan 407097 82
insert 600047
scan 83933 8
scan 70500 1
scan 312412 50
scan 290992 59
scan 573887 73
scan 387875 70
scan 593856 1
scan 447051 60
scan 215992 19
scan 558144 67
scan 562710 60
scan 70517 46
scan 35767 48
scan 381299 99
scan 305956 10
scan 35767 97
scan 72790 4
scan 319282 16
scan 251781 32
scan 561971 41
scan 200008 55
scan 150598 2
scan 385777 71
scan 552542 24
scan 95662 42
scan 68068 39
scan 35767 36
scan 145969 8
scan 198216 65
scan 185768 76
scan 550755 31
scan 234081 30
scan 588059 10
scan 366438 65
scan 372658 13
scan 495024 4
insert 600048
scan 297060 36
scan 550804 51
scan 567420 82
scan 510395 47
scan 262927 70
scan 213734 15
scan 12947 57
scan 183331 73
scan 263558 13
scan 561971 71
scan 149436 53
scan 385777 95
scan 519647 25
scan 106649 34
scan 306101 45
scan 329792 42
scan 561971 95
insert 600049
scan 55195 29
scan 87861 55
scan 385777 3
scan 363659 30
scan 582733 46
scan 252805 18
scan 435552 57
scan 561971 21
scan 215992 18
scan 319616 90
scan 408387 85
scan 471721 90
scan 315987 90
scan 226536 32
scan 467608 37
scan 208792 38
scan 345122 84
scan 318712 96
scan 305496 28
scan 75171 39
scan 385777 64
scan 403556 14
scan 35767 96
scan 292801 17
scan 68068 56
scan 267571 4
insert 600050
scan 120093 98
scan 349249 87
scan 513899 22
scan 95662 27
scan 385777 75
scan 10451 56
scan 59474 40
scan 325649 3
scan 451764 89
scan 73829 75
insert 600051
scan 472116 22
scan 10451 4
scan 56509 52
scan 72790 79
scan 505097 75
scan 360326 2
scan 486195 73
scan 434607 75
scan 411282 8
scan 185445 73
scan 472116 47
scan 156041 1
scan 1694 2
scan 10884 26
scan 213748 22
scan 224346 88
scan 166752 48
scan 385777 23
scan 126530 5
scan 241453 58
scan 385777 14
scan 343024 82
scan 371133 62
scan 44191 74
scan 25704 80
scan 259886 33
scan 385777 37
scan 117186 59
scan 378298 43
scan 87300 99
scan 95662 38
scan 324789 87
scan 385777 3
scan 238541 55
scan 595482 97
scan 561971 47
scan 294119 83
scan 561971 14
scan 595534 80
scan 472116 67
scan 303791 91
scan 135137 95
scan 312037 77
insert 600052
scan 149938 30
scan 293469 31
scan 104632 20
scan 519186 94
scan 400323 28
scan 347715 16
scan 28082 64
scan 417201 30
scan 570655 86
scan 570501 94
scan 522528 40
scan 165229 5
scan 72790 22
scan 447466 11
scan 199547 82
scan 503177 71
scan 549395 45
scan 424732 88
scan 196595 26
scan 203241 11
scan 516624 77
scan 46687 29
scan 440040 48
scan 482268 91
scan 247190 2
scan 258243 88
scan 159534 7
scan 197976 12
scan 385777 84
scan 236551 58
insert 600053
scan 385777 51
insert 600054
scan 340858 2
scan 66118 91
scan 503322 23
scan 221272 9
scan 385777 35
scan 386301 2
scan 462573 97
scan 561971 24
scan 308523 84
scan 343024 15
scan 567699 39
scan 121445 53
scan 221909 99
scan 361347 55
insert 600055
scan 556601 51
scan 561971 76
scan 348297 99
scan 35639 79
scan 485718 34
scan 427116 24
scan 289302 50
scan 431782 14
scan 503639 63
scan 344343 40
insert 600056
scan 229580 3
insert 600057
scan 343024 41
scan 291568 24
scan 379910 21
scan 166441 16
scan 533688 87
scan 152984 9
scan 456698 64
scan 573705 93
scan 96516 11
scan 107637 6
scan 421814 46
scan 302660 35
scan 57984 77
scan 474434 89
scan 357059 48
scan 400108 95
scan 138139 97
scan 71354 36
scan 369108 25
insert 600058
scan 385777 9
scan 553828 26
scan 33378 70
scan 385777 65
insert 600059
scan 385777 51
scan 71268 63
scan 384803 38
scan 215992 93
scan 252805 33
scan 272084 49
scan 596479 49
scan 339924 2
scan 85545 25
scan 506520 27
scan 462573 45
scan 525591 63
scan 35767 18
scan 447167 28
scan 504165 56
scan 561971 84
scan 95523 76
scan 440418 41
scan 393716 6
scan 83096 27
scan 378298 56
scan 417702 18
scan 72790 20
scan 93892 72
scan 374626 72
scan 202304 43
scan 505097 2
scan 462573 90
scan 385777 19
scan 491934 16
scan 379497 3
scan 377641 84
scan 29283 96
scan 129764 21
scan 260728 90
scan 72790 71
scan 9890 74
scan 171171 6
scan 203456 52
scan 515741 89
scan 385777 51
scan 583553 53
scan 242908 40
insert 600060
scan 252805 22
scan 553135 59
scan 68068 25
scan 233112 100
scan 297134 32
scan 74545 3
scan 356528 47
scan 9450 29
scan 229068 68
scan 123182 92
scan 392806 1
scan 370427 13
scan 307309 59
scan 385777 13
scan 227762 10
scan 492666 99
scan 463992 1
scan 472116 29
scan 72790 99
scan 385777 5
scan 353748 65
scan 104632 34
scan 98830 79
scan 250188 29
scan 310496 41
scan 463712 100
scan 101364 56
scan 385777 10
scan 205159 74
scan 557498 67
scan 385777 12
scan 387033 92
scan 482268 66
scan 385777 43
scan 442890 85
scan 308393 65
scan 473646 56
scan 476656 52
scan 385777 44
scan 486128 73
scan 2196 18
scan 140108 40
scan 567924 96
scan 308393 17
scan 538397 95
scan 394322 8
scan 98234 99
scan 64753 47
scan 275274 100
scan 303622 49
scan 242908 14
scan 352242 4
scan 108829 7
scan 462573 44
scan 385777 62
scan 400108 84
insert 600061
scan 380494 94
scan 592691 51
scan 175762 100
scan 462573 34
insert 600062
scan 374626 2
scan 310389 25
scan 68068 56
insert 600063
scan 384824 29
scan 51287 100
scan 376242 51
scan 560390 6
scan 575833 22
scan 472906 40
scan 330877 76
scan 198880 82
scan 264265 96
scan 28202 37
scan 490398 22
insert 600064
scan 490030 33
scan 306989 27
scan 423640 4
scan 512720 9
scan 72790 31
scan 53475 58
scan 270706 13
scan 385505 85
scan 424300 56
scan 593856 92
scan 279361 45
scan 489548 43
scan 257387 95
scan 133695 12
scan 347773 46
scan 72790 17
scan 470585 33
scan 588627 18
scan 452924 35
scan 35767 35
scan 482268 68
scan 493411 24
scan 175762 44
scan 224346 29
scan 72790 78
scan 77514 65
scan 452678 85
scan 378298 31
scan 110976 75
scan 215992 36
scan 266420 23
scan 521782 9
scan 374910 55
scan 42970 28
scan 548784 94
scan 357653 44
scan 31459 52
scan 385777 80
scan 505097 91
scan 442780 44
scan 385777 39
scan 385777 65
scan 540961 56
scan 385777 78
scan 385777 91
scan 247692 70
scan 524950 61
scan 506645 71
scan 146354 86
scan 36617 51
scan 593856 73
scan 72790 18
scan 389469 54
scan 287644 60
scan 169108 82
scan 19599 62
insert 600065
scan 595707 28
scan 474758 9
scan 245983 25
scan 374626 20
scan 482268 59
scan 392806 5
scan 248777 35
scan 64976 25
scan 139499 1
scan 133861 39
scan 16535 60
scan 385777 16
scan 259757 12
scan 215992 3
scan 532084 49
scan 444409 65
scan 385777 79
scan 19854 95
scan 348885 51
scan 374626 55
scan 564308 36
scan 2123 47
scan 367941 15
scan 206641 95
scan 344852 98
scan 430578 6
scan 11979 90
insert 600066
scan 448295 94
scan 154727 25
scan 191833 62
scan 510301 55
scan 385777 81
scan 78730 100
scan 588278 32
scan 385777 72
scan 508111 59
scan 473618 36
scan 126602 50
scan 28534 4
scan 385777 56
scan 430019 3
scan 593856 76
scan 77540 61
scan 295636 10
scan 183533 95
scan 472116 40
scan 176630 93
scan 385777 16
scan 280062 44
scan 490600 84
scan 328959 2
scan 482268 40
scan 385777 65
scan 176391 68
scan 385777 39
scan 363736 96
scan 163150 35
scan 374626 68
scan 562965 94
scan 35767 76
scan 537157 90
scan 416988 92
scan 319616 28
scan 385777 87
scan 107637 39
scan 72790 28
scan 6029 39
scan 34109 88
scan 250188 56
scan 215992 70
scan 245450 24
scan 35767 47
insert 600067
scan 245388 28
insert 600068
scan 216778 26
scan 68068 48
scan 351499 54
scan 575274 27
scan 98544 78
scan 596797 100
scan 366594 86
scan 140053 70
scan 257883 8
scan 440418 91
scan 72790 36
scan 148282 76
scan 472116 86
scan 524615 52
scan 490398 99
scan 252805 20
scan 191715 3
scan 311307 81
scan 35639 19
scan 59807 75
scan 385777 59
scan 234416 98
scan 378298 83
scan 278391 72
scan 567699 93
scan 378298 39
scan 75606 23
scan 526710 58
scan 61164 77
insert 600069
scan 385777 63
scan 291207 22
scan 348297 84
scan 452058 50
scan 400108 7
scan 120608 91
scan 273392 53
scan 121937 37
scan 286328 88
scan 154239 98
scan 110925 81
scan 28582 23
scan 215992 52
scan 215992 3
scan 374626 81
scan 575265 11
scan 402 57
scan 95662 68
scan 349098 39
scan 72892 87
scan 193924 93
scan 42970 87
scan 196595 68
scan 187520 21
scan 385777 96
scan 35639 67
scan 189090 30
scan 388084 27
scan 1638 7
scan 104016 19
scan 472116 89
scan 95178 7
scan 161897 64
scan 338345 76
scan 403620 81
scan 230283 11
scan 503401 51
scan 385777 98
insert 600070
scan 392806 4
scan 371133 19
scan 72790 91
scan 49152 35
scan 101364 49
scan 385777 76
scan 385777 68
scan 255233 51
scan 35767 18
scan 215992 91
insert 600071
scan 68068 88
scan 374626 28
scan 2270 7
scan 385777 19
scan 308523 66
scan 374626 63
scan 458163 12
insert 600072
scan 444123 34
scan 395148 55
scan 93902 78
scan 387724 32
scan 66509 75
scan 340631 58
scan 72790 22
scan 416477 94
scan 518718 27
scan 45447 84
scan 561971 93
scan 349629 14
scan 142121 13
scan 374626 88
scan 504663 79
scan 251219 60
scan 208013 6
scan 279593 26
scan 35639 10
scan 333125 100
scan 43241 47
scan 276028 42
scan 259996 78
scan 89177 87
scan 35178 10
scan 86106 58
scan 540731 73
scan 72790 63
scan 380185 91
scan 385777 76
scan 143241 1
insert 600073
scan 474667 49
scan 294410 1
scan 440418 73
scan 35639 26
scan 543665 71
scan 284161 70
scan 1774 91
scan 563146 14
scan 560082 72
scan 522950 87
scan 50827 56
scan 373124 2
scan 98159 88
scan 364258 74
scan 499287 35
scan 530905 38
scan 574913 56
scan 307906 31
scan 15666 62
scan 241155 49
scan 438384 22
scan 35639 78
scan 290992 48
scan 279150 36
scan 505097 5
scan 447858 70
scan 39534 49
scan 420321 60
scan 275337 35
scan 548102 57
scan 385777 54
scan 69305 30
insert 600074
scan 248445 57
scan 10451 88
scan 509647 11
scan 242908 38
scan 215992 40
scan 276494 63
scan 11903 87
scan 472116 47
scan 575562 55
scan 215992 39
insert 600075
scan 248971 94
scan 462573 93
scan 385777 57
scan 374626 3
scan 259592 76
scan 117603 46
scan 374626 55
scan 114440 41
scan 31229 25
scan 264449 87
scan 431079 52
scan 24839 92
scan 579410 48
scan 447077 3
scan 596797 86
scan 485434 97
scan 121937 50
scan 261649 48
scan 61164 91
scan 551326 69
insert 600076
scan 503554 19
scan 543180 55
scan 396172 85
scan 36954 6
insert 600077
scan 286099 92
scan 472116 96
scan 293024 78
scan 57084 99
scan 462573 86
scan 308393 54
scan 38314 10
scan 72790 73
scan 338550 29
scan 12153 34
scan 513981 20
scan 83440 19
scan 174442 45
scan 385777 9
scan 481018 31
scan 107637 94
scan 466119 100
scan 10820 42
scan 35767 44
scan 140908 7
scan 196634 8
scan 385777 9
insert 600078
scan 567731 41
scan 399288 39
scan 353249 69
scan 520767 66
scan 374626 15
scan 466421 71
scan 529991 31
scan 575523 32
scan 39312 97
scan 385777 79
scan 385777 53
scan 223881 6
scan 433849 45
insert 600079
scan 38718 99
scan 35639 79
scan 409621 43
scan 243723 48
scan 385777 89
scan 178978 88
scan 15231 4
scan 77540 79
scan 384047 7
scan 447466 68
scan 424732 45
scan 104632 22
scan 119708 20
scan 30132 1
scan 72790 59
scan 179706 48
scan 103269 60
scan 476656 36
scan 156405 88
scan 436430 94
scan 494059 59
scan 89732 64
scan 319616 71
scan 308393 88
scan 252805 88
scan 150598 43
scan 154776 91
scan 188846 76
scan 259476 100
scan 526299 96
scan 392806 74
scan 144525 83
scan 385777 77
scan 385204 33
scan 400108 52
scan 385777 83
scan 96453 3
scan 418152 97
scan 197918 35
scan 361508 91
scan 457883 88
scan 314403 56
scan 101080 36
scan 249144 19
scan 373124 93
scan 393716 65
insert 600080
scan 113987 53
insert 600081
scan 383864 69
scan 247190 63
scan 396663 63
scan 504518 6
scan 384283 93
insert 600082
scan 433478 40
scan 458153 8
insert 600083
scan 546941 75
scan 215992 59
scan 497028 79
scan 472116 15
scan 385777 81
scan 218187 33
scan 10451 36
scan 364924 78
scan 561971 9
scan 321508 76
scan 128637 72
scan 562470 22
scan 491406 2
scan 127976 56
scan 175762 16
scan 166752 52
scan 376242 20
insert 600084
scan 385777 97
scan 420147 42
insert 600085
scan 258264 63
scan 498827 94
scan 385777 65
scan 72790 94
scan 395178 10
scan 491459 31
scan 209915 2
scan 111182 24
scan 100027 4
scan 385777 58
scan 30770 77
scan 228010 39
insert 600086
scan 349479 76
scan 507499 74
scan 319836 23
scan 227431 19
scan 72790 65
scan 290992 92
scan 72790 96
scan 446784 32
scan 136995 75
scan 72790 37
scan 210698 81
scan 98830 53
scan 31194 26
scan 313150 41
scan 72790 83
scan 78324 52
